,Forecast
01/10/2019,178.5227602
02/10/2019,182.4410224
03/10/2019,172.5179102
04/10/2019,150.7111584
05/10/2019,103.8003072
06/10/2019,121.1214162
07/10/2019,183.3348601
08/10/2019,178.3337788
09/10/2019,182.2478932
10/10/2019,172.3352854
11/10/2019,150.5516179
12/10/2019,103.6904258
13/10/2019,120.9931989
14/10/2019,183.1407847
15/10/2019,178.1449974
16/10/2019,182.0549684
17/10/2019,172.152854
18/10/2019,150.3922463
19/10/2019,103.5806608
20/10/2019,120.8651174
21/10/2019,182.9469147
22/10/2019,177.9564159
23/10/2019,181.8622478
24/10/2019,171.9706156
25/10/2019,150.2330434
26/10/2019,103.4710119
27/10/2019,120.7371715
28/10/2019,182.7532499
29/10/2019,177.768034
30/10/2019,181.6697313
31/10/2019,171.7885702
01/11/2019,150.0740091
02/11/2019,103.3614791
03/11/2019,120.609361
04/11/2019,182.5597902
05/11/2019,177.5798515
06/11/2019,181.4774185
07/11/2019,171.6067175
08/11/2019,149.915143
09/11/2019,103.2520622
10/11/2019,120.4816858
11/11/2019,182.3665352
12/11/2019,177.3918682
13/11/2019,181.2853093
14/11/2019,171.4250573
15/11/2019,149.7564452
16/11/2019,103.1427612
17/11/2019,120.3541457
18/11/2019,182.1734848
19/11/2019,177.204084
20/11/2019,181.0934035
21/11/2019,171.2435893
22/11/2019,149.5979153
23/11/2019,103.0335758
24/11/2019,120.2267407
25/11/2019,181.9806388
26/11/2019,177.0164985
27/11/2019,180.9017008
28/11/2019,171.0623135
29/11/2019,149.4395533
30/11/2019,102.9245061
